timestamp,git_commit,git_dirty,vivado_version,bitstream_sha256,board_id,net,layer,clock_mhz,source,duration_s,num_inferences,channel,B,s,m,values_checked_exact,values_checked_saturated,mismatches,first_mismatch_v,m_rne,delta_from_rne,mismatches_rne,candidates_tried,sat_seed,ref_float_vs_exact_diffs,s_in_range
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,2,32,42,3538045200,323199,1000004,0,,3538045200,0,0,1,"default_rng([20260924, 0, 1, 2])",0,True
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,2,40,50,905739571076,323199,1000004,0,,905739571076,0,0,1,"default_rng([20260924, 0, 1, 2])",0,True
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,2,48,58,231869330195543,323199,1000004,0,,231869330195543,0,0,1,"default_rng([20260924, 0, 1, 2])",0,True
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,3,32,42,2800930499,408255,1000004,0,,2800930499,0,0,1,"default_rng([20260924, 0, 1, 3])",0,True
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,3,40,50,717038207756,408255,1000004,0,,717038207756,0,0,1,"default_rng([20260924, 0, 1, 3])",0,True
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,3,48,58,183561781185449,408255,1000004,0,,183561781185449,0,0,1,"default_rng([20260924, 0, 1, 3])",0,True
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,4,32,42,3434258100,332967,1000004,0,,3434258100,0,0,1,"default_rng([20260924, 0, 1, 4])",0,True
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,4,40,50,879170073580,332967,1000004,0,,879170073580,0,0,1,"default_rng([20260924, 0, 1, 4])",0,True
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,4,48,58,225067538836501,332967,1000004,0,,225067538836501,0,0,1,"default_rng([20260924, 0, 1, 4])",0,True
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,5,32,41,2603556443,219601,1000004,0,,2603556443,0,0,1,"default_rng([20260924, 0, 1, 5])",0,True
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,5,40,49,666510449402,219601,1000004,0,,666510449402,0,0,1,"default_rng([20260924, 0, 1, 5])",0,True
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,5,48,57,170626675046980,219601,1000004,0,,170626675046980,0,0,1,"default_rng([20260924, 0, 1, 5])",0,True
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,6,32,41,3342020624,171077,1000004,0,,3342020624,0,0,1,"default_rng([20260924, 0, 1, 6])",0,True
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,6,40,49,855557279776,171077,1000004,0,,855557279776,0,0,1,"default_rng([20260924, 0, 1, 6])",0,True
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,6,48,57,219022663622733,171077,1000004,0,,219022663622733,0,0,1,"default_rng([20260924, 0, 1, 6])",0,True
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,7,32,42,3164887819,361305,1000004,0,,3164887819,0,0,1,"default_rng([20260924, 0, 1, 7])",0,True
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,7,40,50,810211281718,361305,1000004,0,,810211281718,0,0,1,"default_rng([20260924, 0, 1, 7])",0,True
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,7,48,58,207414088119766,361305,1000004,0,,207414088119766,0,0,1,"default_rng([20260924, 0, 1, 7])",0,True
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,8,32,41,2595807039,220257,1000004,0,,2595807039,0,0,1,"default_rng([20260924, 0, 1, 8])",0,True
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,8,40,49,664526601882,220257,1000004,0,,664526601882,0,0,1,"default_rng([20260924, 0, 1, 8])",0,True
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,8,48,57,170118810081751,220257,1000004,0,,170118810081751,0,0,1,"default_rng([20260924, 0, 1, 8])",0,True
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,9,32,42,3472670749,329283,1000004,0,,3472670749,0,0,1,"default_rng([20260924, 0, 1, 9])",0,True
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,9,40,50,889003711623,329283,1000004,0,,889003711623,0,0,1,"default_rng([20260924, 0, 1, 9])",0,True
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,9,48,58,227584950175573,329283,1000004,0,,227584950175573,0,0,1,"default_rng([20260924, 0, 1, 9])",0,True
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,10,32,41,2318417074,246611,1000004,0,,2318417074,0,0,1,"default_rng([20260924, 0, 1, 10])",0,True
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,10,40,49,593514770886,246611,1000004,0,,593514770886,0,0,1,"default_rng([20260924, 0, 1, 10])",0,True
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,10,48,57,151939781346899,246611,1000004,0,,151939781346899,0,0,1,"default_rng([20260924, 0, 1, 10])",0,True
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,11,32,44,3618332827,1264109,1000004,0,,3618332827,0,0,1,"default_rng([20260924, 0, 1, 11])",0,True
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,11,40,52,926293203589,1264109,1000004,0,,926293203589,0,0,1,"default_rng([20260924, 0, 1, 11])",0,True
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,11,48,60,237131060118897,1264109,1000004,0,,237131060118897,0,0,1,"default_rng([20260924, 0, 1, 11])",0,True
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,12,32,42,4077047569,280471,1000004,0,,4077047569,0,0,1,"default_rng([20260924, 0, 1, 12])",0,True
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,12,40,50,1043724177782,280471,1000004,0,,1043724177782,0,0,1,"default_rng([20260924, 0, 1, 12])",0,True
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,12,48,58,267193389512296,280471,1000004,0,,267193389512296,0,0,1,"default_rng([20260924, 0, 1, 12])",0,True
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,13,32,42,3373133962,338999,1000004,0,,3373133962,0,0,1,"default_rng([20260924, 0, 1, 13])",0,True
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,13,40,50,863522294180,338999,1000004,0,,863522294180,0,0,1,"default_rng([20260924, 0, 1, 13])",0,True
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,13,48,58,221061707309960,338999,1000004,0,,221061707309960,0,0,1,"default_rng([20260924, 0, 1, 13])",0,True
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,14,32,42,2271787346,503345,1000004,0,,2271787346,0,0,1,"default_rng([20260924, 0, 1, 14])",0,True
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,14,40,50,581577560509,503345,1000004,0,,581577560509,0,0,1,"default_rng([20260924, 0, 1, 14])",0,True
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,14,48,58,148883855490410,503345,1000004,0,,148883855490410,0,0,1,"default_rng([20260924, 0, 1, 14])",0,True
2026-09-24T16:29:28+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,,,,lenet5,conv3,,model,1.406,,15,32,42,2549429689,448529,1000004,0,,2549429689,0,0,1,"default_rng([20260924, 0, 1, 15])",0,True
