timestamp,git_commit,git_dirty,vivado_version,bitstream_sha256,board_id,net,layer,clock_mhz,source,duration_s,num_inferences,kind,img,model_cycles,rtl_cycles,err,model_total,rtl_total,model_mac,rtl_mac,stall,out_ok,issue_ok,write_ok
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,cifar10,L2_conv3,,rtl_sim,30.884553608,1,layer,2,6429,6429,0,6431,6431,6400,6400,0,True,1,1
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,cifar10,L3_fc,,rtl_sim,30.884553608,1,layer,0,157,157,0,159,159,128,128,0,True,1,1
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,cifar10,L3_fc,,rtl_sim,30.884553608,1,layer,1,157,157,0,159,159,128,128,0,True,1,1
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,cifar10,L3_fc,,rtl_sim,30.884553608,1,layer,2,157,157,0,159,159,128,128,0,True,1,1
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F000,,rtl_sim,95.615423542,1,fuzz,,3229,3229,0,3231,3231,3200,3200,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F001,,rtl_sim,95.615423542,1,fuzz,,1379,1379,0,1381,1381,1350,1350,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F002,,rtl_sim,95.615423542,1,fuzz,,7389,7389,0,7391,7391,7360,7360,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F003,,rtl_sim,95.615423542,1,fuzz,,14813,14813,0,14815,14815,14784,14784,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F004,,rtl_sim,95.615423542,1,fuzz,,15317,15317,0,15319,15319,15288,15288,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F005,,rtl_sim,95.615423542,1,fuzz,,15317,15317,0,15319,15319,15288,15288,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F006,,rtl_sim,95.615423542,1,fuzz,,24229,24229,0,24231,24231,24200,24200,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F007,,rtl_sim,95.615423542,1,fuzz,,15517,15517,0,15519,15519,15488,15488,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F008,,rtl_sim,95.615423542,1,fuzz,,1511,1511,0,1513,1513,1482,1482,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F009,,rtl_sim,95.615423542,1,fuzz,,11629,11629,0,11631,11631,11600,11600,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F010,,rtl_sim,95.615423542,1,fuzz,,54029,54029,0,54031,54031,54000,54000,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F011,,rtl_sim,95.615423542,1,fuzz,,404,404,0,406,406,375,375,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F012,,rtl_sim,95.615423542,1,fuzz,,504,504,0,506,506,475,475,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F013,,rtl_sim,95.615423542,1,fuzz,,6401,6401,0,6403,6403,6372,6372,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F014,,rtl_sim,95.615423542,1,fuzz,,2079,2079,0,2081,2081,2050,2050,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F015,,rtl_sim,95.615423542,1,fuzz,,39229,39229,0,39231,39231,39200,39200,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F016,,rtl_sim,95.615423542,1,fuzz,,1229,1229,0,1231,1231,1200,1200,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F017,,rtl_sim,95.615423542,1,fuzz,,46829,46829,0,46831,46831,46800,46800,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F018,,rtl_sim,95.615423542,1,fuzz,,9829,9829,0,9831,9831,9800,9800,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F019,,rtl_sim,95.615423542,1,fuzz,,179,179,0,181,181,150,150,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F020,,rtl_sim,95.615423542,1,fuzz,,1629,1629,0,1631,1631,1600,1600,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F021,,rtl_sim,95.615423542,1,fuzz,,19997,19997,0,19999,19999,19968,19968,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F022,,rtl_sim,95.615423542,1,fuzz,,529,529,0,531,531,500,500,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F023,,rtl_sim,95.615423542,1,fuzz,,1529,1529,0,1531,1531,1500,1500,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F024,,rtl_sim,95.615423542,1,fuzz,,19389,19389,0,19391,19391,19360,19360,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F025,,rtl_sim,95.615423542,1,fuzz,,879,879,0,881,881,850,850,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F026,,rtl_sim,95.615423542,1,fuzz,,7079,7079,0,7081,7081,7050,7050,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F027,,rtl_sim,95.615423542,1,fuzz,,5069,5069,0,5071,5071,5040,5040,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F028,,rtl_sim,95.615423542,1,fuzz,,2001,2001,0,2003,2003,1972,1972,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F029,,rtl_sim,95.615423542,1,fuzz,,2829,2829,0,2831,2831,2800,2800,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F030,,rtl_sim,95.615423542,1,fuzz,,17529,17529,0,17531,17531,17500,17500,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F031,,rtl_sim,95.615423542,1,fuzz,,56404,56404,0,56406,56406,56375,56375,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F032,,rtl_sim,95.615423542,1,fuzz,,9344,9344,0,9346,9346,9315,9315,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F033,,rtl_sim,95.615423542,1,fuzz,,3179,3179,0,3181,3181,3150,3150,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F034,,rtl_sim,95.615423542,1,fuzz,,2045,2045,0,2047,2047,2016,2016,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F035,,rtl_sim,95.615423542,1,fuzz,,4565,4565,0,4567,4567,4536,4536,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F036,,rtl_sim,95.615423542,1,fuzz,,4989,4989,0,4991,4991,4960,4960,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F037,,rtl_sim,95.615423542,1,fuzz,,43229,43229,0,43231,43231,43200,43200,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F038,,rtl_sim,95.615423542,1,fuzz,,19037,19037,0,19039,19039,19008,19008,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F039,,rtl_sim,95.615423542,1,fuzz,,4019,4019,0,4021,4021,3990,3990,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F040,,rtl_sim,95.615423542,1,fuzz,,2549,2549,0,2551,2551,2520,2520,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F041,,rtl_sim,95.615423542,1,fuzz,,6497,6497,0,6499,6499,6468,6468,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F042,,rtl_sim,95.615423542,1,fuzz,,21953,21953,0,21955,21955,21924,21924,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F043,,rtl_sim,95.615423542,1,fuzz,,15133,15133,0,15135,15135,15104,15104,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F044,,rtl_sim,95.615423542,1,fuzz,,1629,1629,0,1631,1631,1600,1600,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F045,,rtl_sim,95.615423542,1,fuzz,,392,392,0,394,394,363,363,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F046,,rtl_sim,95.615423542,1,fuzz,,8489,8489,0,8491,8491,8460,8460,0,True,,
2026-09-24T16:28:13+00:00,c6ff5d9686e36de54234b0d9261cdaeaeced59a5,False,2023.1,,,fuzz,F047,,rtl_sim,95.615423542,1,fuzz,,45529,45529,0,45531,45531,45500,45500,0,True,,
