timestamp,git_commit,git_dirty,vivado_version,bitstream_sha256,board_id,net,layer,clock_mhz,source,duration_s,num_inferences,reference_version,precision,correct,total,accuracy_pct
2026-09-25T08:21:03+00:00,e93db3d7a74b1d98f41fcba2fecbf37dc70175ec,False,,,,lenet5,all,,model,1.378,10000,lenet5_v1,FP32,9878,10000,98.78
2026-09-25T08:21:10+00:00,e93db3d7a74b1d98f41fcba2fecbf37dc70175ec,False,,,,lenet5,all,,model,6.318,10000,lenet5_v1,INT8,9879,10000,98.79
2026-09-25T08:21:15+00:00,e93db3d7a74b1d98f41fcba2fecbf37dc70175ec,False,,,,cifar10,all,,model,5.71,10000,cifar10_r1,FP32,6587,10000,65.87
2026-09-25T08:22:12+00:00,e93db3d7a74b1d98f41fcba2fecbf37dc70175ec,False,,,,cifar10,all,,model,56.295,10000,cifar10_r1,INT8,6576,10000,65.76
2026-09-25T08:22:17+00:00,e93db3d7a74b1d98f41fcba2fecbf37dc70175ec,False,,,,cifar10,all,,model,5.7,10000,cifar10_r2,FP32,7856,10000,78.56
2026-09-25T08:23:12+00:00,e93db3d7a74b1d98f41fcba2fecbf37dc70175ec,False,,,,cifar10,all,,model,55.035,10000,cifar10_r2,INT8,7852,10000,78.52
