timestamp,git_commit,git_dirty,vivado_version,bitstream_sha256,board_id,net,layer,clock_mhz,source,duration_s,num_inferences,case,exp_code,rtl_code,rtl_error,accepted,ok
2026-09-24T16:52:01+00:00,04470fc53efbc7b39c30e91f3fba5003443db727,True,2023.1,,,,,,rtl_sim,11.514197614,,33,1280,1280,1,False,True
2026-09-24T16:52:01+00:00,04470fc53efbc7b39c30e91f3fba5003443db727,True,2023.1,,,,,,rtl_sim,11.514197614,,34,1536,1536,1,False,True
2026-09-24T16:52:01+00:00,04470fc53efbc7b39c30e91f3fba5003443db727,True,2023.1,,,,,,rtl_sim,11.514197614,,35,1792,1792,1,False,True
2026-09-24T16:52:01+00:00,04470fc53efbc7b39c30e91f3fba5003443db727,True,2023.1,,,,,,rtl_sim,11.514197614,,36,6400,6400,1,False,True
2026-09-24T16:52:01+00:00,04470fc53efbc7b39c30e91f3fba5003443db727,True,2023.1,,,,,,rtl_sim,11.514197614,,37,6656,6656,1,False,True
2026-09-24T16:52:01+00:00,04470fc53efbc7b39c30e91f3fba5003443db727,True,2023.1,,,,,,rtl_sim,11.514197614,,38,6912,6912,1,False,True
2026-09-24T16:52:01+00:00,04470fc53efbc7b39c30e91f3fba5003443db727,True,2023.1,,,,,,rtl_sim,11.514197614,,39,512,512,1,False,True
2026-09-24T16:52:01+00:00,04470fc53efbc7b39c30e91f3fba5003443db727,True,2023.1,,,,,,rtl_sim,11.514197614,,40,2048,2048,1,False,True
2026-09-24T16:52:01+00:00,04470fc53efbc7b39c30e91f3fba5003443db727,True,2023.1,,,,,,rtl_sim,11.514197614,,41,2304,2304,1,False,True
2026-09-24T16:52:01+00:00,04470fc53efbc7b39c30e91f3fba5003443db727,True,2023.1,,,,,,rtl_sim,11.514197614,,42,2560,2560,1,False,True
2026-09-24T16:52:01+00:00,04470fc53efbc7b39c30e91f3fba5003443db727,True,2023.1,,,,,,rtl_sim,11.514197614,,43,2816,2816,1,False,True
2026-09-24T16:52:01+00:00,04470fc53efbc7b39c30e91f3fba5003443db727,True,2023.1,,,,,,rtl_sim,11.514197614,,44,3072,3072,1,False,True
2026-09-24T16:52:01+00:00,04470fc53efbc7b39c30e91f3fba5003443db727,True,2023.1,,,,,,rtl_sim,11.514197614,,45,3328,3328,1,False,True
2026-09-24T16:52:01+00:00,04470fc53efbc7b39c30e91f3fba5003443db727,True,2023.1,,,,,,rtl_sim,11.514197614,,46,3584,3584,1,False,True
2026-09-24T16:52:01+00:00,04470fc53efbc7b39c30e91f3fba5003443db727,True,2023.1,,,,,,rtl_sim,11.514197614,,47,3840,3840,1,False,True
2026-09-24T16:52:01+00:00,04470fc53efbc7b39c30e91f3fba5003443db727,True,2023.1,,,,,,rtl_sim,11.514197614,,48,768,768,1,False,True
2026-09-24T16:52:01+00:00,04470fc53efbc7b39c30e91f3fba5003443db727,True,2023.1,,,,,,rtl_sim,11.514197614,,49,4352,4352,1,False,True
2026-09-24T16:52:01+00:00,04470fc53efbc7b39c30e91f3fba5003443db727,True,2023.1,,,,,,rtl_sim,11.514197614,,50,4608,4608,1,False,True
2026-09-24T16:52:01+00:00,04470fc53efbc7b39c30e91f3fba5003443db727,True,2023.1,,,,,,rtl_sim,11.514197614,,51,4864,4864,1,False,True
2026-09-24T16:52:01+00:00,04470fc53efbc7b39c30e91f3fba5003443db727,True,2023.1,,,,,,rtl_sim,11.514197614,,52,5120,5120,1,False,True
2026-09-24T16:52:01+00:00,04470fc53efbc7b39c30e91f3fba5003443db727,True,2023.1,,,,,,rtl_sim,11.514197614,,53,5376,5376,1,False,True
2026-09-24T16:52:01+00:00,04470fc53efbc7b39c30e91f3fba5003443db727,True,2023.1,,,,,,rtl_sim,11.514197614,,54,5632,5632,1,False,True
2026-09-24T16:52:01+00:00,04470fc53efbc7b39c30e91f3fba5003443db727,True,2023.1,,,,,,rtl_sim,11.514197614,,55,5888,5888,1,False,True
2026-09-24T16:52:01+00:00,04470fc53efbc7b39c30e91f3fba5003443db727,True,2023.1,,,,,,rtl_sim,11.514197614,,56,6144,6144,1,False,True
