timestamp,git_commit,git_dirty,vivado_version,bitstream_sha256,board_id,net,layer,clock_mhz,source,duration_s,num_inferences,channel,B,s,m,values_checked_exact,values_checked_saturated,mismatches,first_mismatch_v,m_rne,delta_from_rne,mismatches_rne,candidates_tried,sat_seed,ref_float_vs_exact_diffs
2026-09-24T05:16:50+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv1,,model,1.391,,25,32,43,2332106776,980651,1000004,0,,2332106776,0,0,1,"default_rng([20260924, 0, 0, 25])",0
2026-09-24T05:16:50+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv1,,model,1.391,,26,32,43,2474119836,924363,1000004,0,,2474119836,0,0,1,"default_rng([20260924, 0, 0, 26])",0
2026-09-24T05:16:50+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv1,,model,1.391,,27,32,43,4125715398,554325,1000004,0,,4125715398,0,0,1,"default_rng([20260924, 0, 0, 27])",0
2026-09-24T05:16:50+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv1,,model,1.391,,28,32,42,3983079326,287087,1000004,0,,3983079326,0,0,1,"default_rng([20260924, 0, 0, 28])",0
2026-09-24T05:16:50+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv1,,model,1.391,,29,32,46,3594061618,2457601,0,0,,3594061618,0,0,1,"default_rng([20260924, 0, 0, 29])",0
2026-09-24T05:16:50+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv1,,model,1.391,,30,32,41,3431558103,166615,1000004,0,,3431558103,0,0,1,"default_rng([20260924, 0, 0, 30])",0
2026-09-24T05:16:50+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv1,,model,1.391,,31,32,41,2266238410,252289,1000004,0,,2266238410,0,0,1,"default_rng([20260924, 0, 0, 31])",0
2026-09-24T05:16:51+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv2,,model,1.759,,0,32,41,4066966190,140583,1000004,0,,4066966190,0,0,1,"default_rng([20260924, 0, 1, 0])",0
2026-09-24T05:16:51+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv2,,model,1.759,,1,32,41,3581091652,159657,1000004,0,,3581091652,0,0,1,"default_rng([20260924, 0, 1, 1])",0
2026-09-24T05:16:51+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv2,,model,1.759,,2,32,41,3937900728,145191,1000004,0,,3937900728,0,0,1,"default_rng([20260924, 0, 1, 2])",0
2026-09-24T05:16:51+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv2,,model,1.759,,3,32,40,2419758998,118141,1000004,0,,2419758998,0,0,1,"default_rng([20260924, 0, 1, 3])",0
2026-09-24T05:16:51+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv2,,model,1.759,,4,32,41,3813421063,149929,1000004,0,,3813421063,0,0,1,"default_rng([20260924, 0, 1, 4])",0
2026-09-24T05:16:51+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv2,,model,1.759,,5,32,41,3442983680,166061,1000004,0,,3442983680,0,0,1,"default_rng([20260924, 0, 1, 5])",0
2026-09-24T05:16:51+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv2,,model,1.759,,6,32,40,2293863290,124625,1000004,0,,2293863290,0,0,1,"default_rng([20260924, 0, 1, 6])",0
2026-09-24T05:16:51+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv2,,model,1.759,,7,32,41,3688042520,155027,1000004,0,,3688042520,0,0,1,"default_rng([20260924, 0, 1, 7])",0
2026-09-24T05:16:51+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv2,,model,1.759,,8,32,41,3637150561,157197,1000004,0,,3637150561,0,0,1,"default_rng([20260924, 0, 1, 8])",0
2026-09-24T05:16:51+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv2,,model,1.759,,9,32,47,3849977801,9504405,1000004,0,,3849977801,0,0,1,"default_rng([20260924, 0, 1, 9])",0
2026-09-24T05:16:51+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv2,,model,1.759,,10,32,41,3755508998,152241,1000004,0,,3755508998,0,0,1,"default_rng([20260924, 0, 1, 10])",0
2026-09-24T05:16:51+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv2,,model,1.759,,11,32,41,3358625791,170233,1000004,0,,3358625791,0,0,1,"default_rng([20260924, 0, 1, 11])",0
2026-09-24T05:16:51+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv2,,model,1.759,,12,32,41,4201186692,136091,1000004,0,,4201186692,0,0,1,"default_rng([20260924, 0, 1, 12])",0
2026-09-24T05:16:51+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv2,,model,1.759,,13,32,41,3258914692,175441,1000004,0,,3258914692,0,0,1,"default_rng([20260924, 0, 1, 13])",0
2026-09-24T05:16:51+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv2,,model,1.759,,14,32,40,2453717718,116507,1000004,0,,2453717718,0,0,1,"default_rng([20260924, 0, 1, 14])",0
2026-09-24T05:16:51+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv2,,model,1.759,,15,32,40,2587062888,110501,1000004,0,,2587062888,0,0,1,"default_rng([20260924, 0, 1, 15])",0
2026-09-24T05:16:51+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv2,,model,1.759,,16,32,41,2581426693,221485,1000004,0,,2581426693,0,0,1,"default_rng([20260924, 0, 1, 16])",0
2026-09-24T05:16:51+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv2,,model,1.759,,17,32,40,2590562276,110351,1000004,0,,2590562276,0,0,1,"default_rng([20260924, 0, 1, 17])",0
2026-09-24T05:16:51+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv2,,model,1.759,,18,32,40,2411597083,118541,1000004,0,,2411597083,0,0,1,"default_rng([20260924, 0, 1, 18])",0
2026-09-24T05:16:51+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv2,,model,1.759,,19,32,40,2540980268,112505,1000004,0,,2540980268,0,0,1,"default_rng([20260924, 0, 1, 19])",0
2026-09-24T05:16:51+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv2,,model,1.759,,20,32,40,2670143236,107063,1000004,0,,2670143236,0,0,1,"default_rng([20260924, 0, 1, 20])",0
2026-09-24T05:16:51+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv2,,model,1.759,,21,32,41,3702684661,154413,1000004,0,,3702684661,0,0,1,"default_rng([20260924, 0, 1, 21])",0
2026-09-24T05:16:51+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv2,,model,1.759,,22,32,41,2732945801,209205,1000004,0,,2732945801,0,0,1,"default_rng([20260924, 0, 1, 22])",0
2026-09-24T05:16:51+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv2,,model,1.759,,23,32,47,3495444588,10468409,1000004,0,,3495444588,0,0,1,"default_rng([20260924, 0, 1, 23])",0
2026-09-24T05:16:51+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv2,,model,1.759,,24,32,42,4187546196,273069,1000004,0,,4187546196,0,0,1,"default_rng([20260924, 0, 1, 24])",0
2026-09-24T05:16:51+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv2,,model,1.759,,25,32,41,3793518344,150717,1000004,0,,3793518344,0,0,1,"default_rng([20260924, 0, 1, 25])",0
2026-09-24T05:16:51+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv2,,model,1.759,,26,32,40,3041532957,93989,1000004,0,,3041532957,0,0,1,"default_rng([20260924, 0, 1, 26])",0
2026-09-24T05:16:51+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv2,,model,1.759,,27,32,41,3555943590,160787,1000004,0,,3555943590,0,0,1,"default_rng([20260924, 0, 1, 27])",0
2026-09-24T05:16:51+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv2,,model,1.759,,28,32,41,3969348132,144041,1000004,0,,3969348132,0,0,1,"default_rng([20260924, 0, 1, 28])",0
2026-09-24T05:16:51+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv2,,model,1.759,,29,32,41,3815569504,149845,1000004,0,,3815569504,0,0,1,"default_rng([20260924, 0, 1, 29])",0
2026-09-24T05:16:51+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv2,,model,1.759,,30,32,41,3441025817,166155,1000004,0,,3441025817,0,0,1,"default_rng([20260924, 0, 1, 30])",0
2026-09-24T05:16:51+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv2,,model,1.759,,31,32,40,2296926259,124459,1000004,0,,2296926259,0,0,1,"default_rng([20260924, 0, 1, 31])",0
2026-09-24T05:16:53+00:00,bd28a729ffb13bb3b0d875ba3666a1b559e56632,True,,,,cifar10,conv3,,model,2.373,,0,32,46,2823559779,6479719,1000004,0,,2823559779,0,0,1,"default_rng([20260924, 0, 2, 0])",0
